ID	Model	Score	Language	Metric
0	5.857933154483459	0.316	ca	F1
1	7.170119543449628	0.327	ca	F1
2	8.809862805379057	0.36	ca	F1
3	12.072541252905651	0.342	ca	F1
4	5.857933154483459	0.183	de	F1
5	7.170119543449628	0.198	de	F1
6	8.809862805379057	0.221	de	F1
7	12.072541252905651	0.226	de	F1
8	5.857933154483459	0.265	en	F1
9	7.170119543449628	0.276	en	F1
10	8.809862805379057	0.289	en	F1
11	12.072541252905651	0.258	en	F1
12	5.857933154483459	0.209	es	F1
13	7.170119543449628	0.224	es	F1
14	8.809862805379057	0.24	es	F1
15	12.072541252905651	0.235	es	F1
16	5.857933154483459	0.205	tu	F1
17	7.170119543449628	0.238	tu	F1
18	8.809862805379057	0.265	tu	F1
19	12.072541252905651	0.258	tu	F1
20	5.857933154483459	0.317	ca	Precision
21	7.170119543449628	0.314	ca	Precision
22	8.809862805379057	0.411	ca	Precision
23	12.072541252905651	0.385	ca	Precision
24	5.857933154483459	0.206	de	Precision
25	7.170119543449628	0.233	de	Precision
26	8.809862805379057	0.266	de	Precision
27	12.072541252905651	0.244	de	Precision
28	5.857933154483459	0.401	en	Precision
29	7.170119543449628	0.392	en	Precision
30	8.809862805379057	0.424	en	Precision
31	12.072541252905651	0.396	en	Precision
32	5.857933154483459	0.197	es	Precision
33	7.170119543449628	0.207	es	Precision
34	8.809862805379057	0.236	es	Precision
35	12.072541252905651	0.211	es	Precision
36	5.857933154483459	0.231	tu	Precision
37	7.170119543449628	0.241	tu	Precision
38	8.809862805379057	0.31	tu	Precision
39	12.072541252905651	0.326	tu	Precision
40	5.857933154483459	0.407	ca	Recall
41	7.170119543449628	0.427	ca	Recall
42	8.809862805379057	0.39	ca	Recall
43	12.072541252905651	0.393	ca	Recall
44	5.857933154483459	0.205	de	Recall
45	7.170119543449628	0.211	de	Recall
46	8.809862805379057	0.235	de	Recall
47	12.072541252905651	0.258	de	Recall
48	5.857933154483459	0.24	en	Recall
49	7.170119543449628	0.25	en	Recall
50	8.809862805379057	0.268	en	Recall
51	12.072541252905651	0.244	en	Recall
52	5.857933154483459	0.304	es	Recall
53	7.170119543449628	0.332	es	Recall
54	8.809862805379057	0.317	es	Recall
55	12.072541252905651	0.35	es	Recall
56	5.857933154483459	0.244	tu	Recall
57	7.170119543449628	0.286	tu	Recall
58	8.809862805379057	0.285	tu	Recall
59	12.072541252905651	0.257	tu	Recall
